date,target
10/23/2022 23:05,104.363
10/23/2022 23:10,111.818
10/23/2022 23:15,105.161
10/23/2022 23:20,113.668
10/23/2022 23:25,107.172
10/23/2022 23:30,120.289
10/23/2022 23:35,107.595
10/23/2022 23:40,105.968
10/23/2022 23:45,108.912
10/23/2022 23:50,110.519
10/23/2022 23:55,115.258
10/24/2022 0:00,127.445
10/24/2022 0:00,124.547
10/24/2022 0:05,114.16
10/24/2022 0:10,106.394
10/24/2022 0:15,120.362
10/24/2022 0:20,114.86
10/24/2022 0:25,114.091
10/24/2022 0:35,111.366
10/24/2022 0:40,117.196
10/24/2022 0:45,111.252
10/24/2022 0:50,113.135
10/24/2022 0:55,128.471
10/24/2022 0:55,107.06
10/24/2022 1:00,101.783
10/24/2022 1:05,112.607
10/24/2022 1:10,122.9
10/24/2022 1:15,111.192
10/24/2022 1:20,109.429
10/24/2022 1:25,113.056
10/24/2022 1:30,117.035
10/24/2022 1:35,108.638
10/24/2022 1:40,110.458
10/24/2022 1:40,132.707
10/24/2022 1:45,119.028
10/24/2022 1:50,104.445
10/24/2022 1:55,113.986
10/24/2022 2:00,128.507
10/24/2022 2:05,105.624
10/24/2022 2:10,108.035
10/24/2022 2:15,102.105
10/24/2022 2:20,111.648
10/24/2022 2:25,112.583
10/24/2022 2:30,111.259
10/24/2022 2:35,112.888
10/24/2022 2:40,106.921
10/24/2022 2:45,105
10/24/2022 2:50,110.327
10/24/2022 2:55,102.252
10/24/2022 3:00,103.373
10/24/2022 3:10,111.19
10/24/2022 3:15,108.374
10/24/2022 3:20,102.444
10/24/2022 3:25,109.452
10/24/2022 3:30,121.247
10/24/2022 3:35,112.188
10/24/2022 3:40,107.107
10/24/2022 3:50,107.139
10/24/2022 3:55,109.574
10/24/2022 4:00,105.21
10/24/2022 4:05,105.39
10/24/2022 4:10,117.9
10/24/2022 4:15,109.585
10/24/2022 4:20,107.708
10/24/2022 4:25,101.624
10/24/2022 4:30,113.261
10/24/2022 4:35,104.655
10/24/2022 4:40,105.271
10/24/2022 4:45,109.566
10/24/2022 4:50,104.817
10/24/2022 4:55,100.852
10/24/2022 5:00,110.001
10/24/2022 5:05,103.287
10/24/2022 5:10,109.07
10/24/2022 5:15,114.99
10/24/2022 5:20,109.615
10/24/2022 5:25,107.416
10/24/2022 5:30,111.259
10/24/2022 5:35,101.989
10/24/2022 5:40,109.218
10/24/2022 5:45,111.913
10/24/2022 5:50,106.873
10/24/2022 5:55,106.11
10/24/2022 6:00,111.201
10/24/2022 6:05,107.22
10/24/2022 6:10,108.926
10/24/2022 6:15,111.163
10/24/2022 6:20,107.658
10/24/2022 6:25,106.84
10/24/2022 6:30,110.213
10/24/2022 6:35,103.432
10/24/2022 6:40,113.398
10/24/2022 6:45,108.503
10/24/2022 6:45,103.828
10/24/2022 6:50,102.303
10/24/2022 6:55,107.735
10/24/2022 7:00,103.455
10/24/2022 7:05,102.319
10/24/2022 7:10,113.548
10/24/2022 7:15,104.602
10/24/2022 7:20,110.489
10/24/2022 7:25,107.485
10/24/2022 7:30,109.24
10/24/2022 7:35,105.049
10/24/2022 7:35,110.387
10/24/2022 7:40,109.864
10/24/2022 7:45,104.536
10/24/2022 7:50,110.126
10/24/2022 7:55,106.762
10/24/2022 8:00,109.24
10/24/2022 8:05,109.817
10/24/2022 8:10,116.677
10/24/2022 8:15,110.2
10/24/2022 8:20,107.098
10/24/2022 8:25,111.071
10/24/2022 8:30,112.056
10/24/2022 8:35,103.549
10/24/2022 8:40,101.558
10/24/2022 8:45,101.901
10/24/2022 8:50,114.921
10/24/2022 8:55,105.316
10/24/2022 9:00,109.667
10/24/2022 9:05,110.954
10/24/2022 9:10,110.06
10/24/2022 9:15,103.699
10/24/2022 9:20,100.901
10/24/2022 9:25,104.036
10/24/2022 9:30,112.289
10/24/2022 9:35,108.474
10/24/2022 9:40,106.195
10/24/2022 9:45,107.745
10/24/2022 9:50,113.05
10/24/2022 9:55,105.232
10/24/2022 10:00,104.328
10/24/2022 10:05,107.828
10/24/2022 10:10,101.07
10/24/2022 10:15,100.642
10/24/2022 10:20,113.351
10/24/2022 10:25,102.116
10/24/2022 10:30,103.899
10/24/2022 10:35,109.22
10/24/2022 10:40,113.65
10/24/2022 10:45,104.825
10/24/2022 10:50,107.399
10/24/2022 10:55,108.474
10/24/2022 11:05,105.637
10/24/2022 11:10,109.596
10/24/2022 11:15,112.356
10/24/2022 11:20,104.561
10/24/2022 11:25,102.076
10/24/2022 11:30,104.901
10/24/2022 11:35,103.88
10/24/2022 11:40,111.939
10/24/2022 11:45,108.091
10/24/2022 11:50,106.92
10/24/2022 11:55,111.086
10/24/2022 12:00,109.407
10/24/2022 12:05,103.833
10/24/2022 12:10,110.503
10/24/2022 12:15,105.291
10/24/2022 12:20,104.07
10/24/2022 12:25,110.969
10/24/2022 12:30,108.913
10/24/2022 12:35,110.58
10/24/2022 12:40,105.228
10/24/2022 12:45,111.331
10/24/2022 12:50,121.522
10/24/2022 12:55,109.433
10/24/2022 13:00,110.29
10/24/2022 13:05,101.831
10/24/2022 13:10,111.478
10/24/2022 13:15,110.353
10/24/2022 13:20,105.126
10/24/2022 13:25,111.137
10/24/2022 13:30,113.429
10/24/2022 13:35,116.67
10/24/2022 13:40,106.827
10/24/2022 13:45,109.335
10/24/2022 13:50,114.173
10/24/2022 13:55,106.922
10/24/2022 14:00,117.414
10/24/2022 14:05,103.782
10/24/2022 14:10,119.683
10/24/2022 14:15,115.509
10/24/2022 14:20,103.741
10/24/2022 14:25,105.669
10/24/2022 14:30,116.676
10/24/2022 14:35,116.796
10/24/2022 14:40,122.217
10/24/2022 14:45,113.512
10/24/2022 14:50,105.245
10/24/2022 14:55,101.588
10/24/2022 15:00,114.556
10/24/2022 15:05,104.122
10/24/2022 15:10,104.374
10/24/2022 15:15,103.874
10/24/2022 15:20,108.405
10/24/2022 15:25,111.997
10/24/2022 15:30,113.189
10/24/2022 15:35,105.878
10/24/2022 15:40,117.569
10/24/2022 15:45,116.342
10/24/2022 15:50,115.389
10/24/2022 15:55,114.021
10/24/2022 16:00,105.354
10/24/2022 16:05,112.952
10/24/2022 16:10,105.276
10/24/2022 16:15,118.061
10/24/2022 16:20,117.585
10/24/2022 16:25,111.765
10/24/2022 16:30,115.624
10/24/2022 16:35,123.808
10/24/2022 16:40,116.671
10/24/2022 16:45,106.382
10/24/2022 16:50,106.297
10/24/2022 16:55,120.591
10/24/2022 17:00,117.073
10/24/2022 17:05,119.296
10/24/2022 17:10,111.588
10/24/2022 17:15,122.221
10/24/2022 17:20,131.866
10/24/2022 17:25,104.204
10/24/2022 17:30,105.064
10/24/2022 17:35,102.143
10/24/2022 17:40,113.043
10/24/2022 17:45,124.382
10/24/2022 17:50,113.799
10/24/2022 17:55,102.121
10/24/2022 18:00,117.823
10/24/2022 18:05,107.253
10/24/2022 18:10,118.565
10/24/2022 18:15,123.8
10/24/2022 18:20,141.541
10/24/2022 18:25,106.142
10/24/2022 18:30,115.299
10/24/2022 18:35,120.068
10/24/2022 18:40,111.49
10/24/2022 18:45,117.215
10/24/2022 18:50,107.617
10/24/2022 18:55,108.883
10/24/2022 19:00,113.502
10/24/2022 19:05,110.28
10/24/2022 19:10,100.189
10/24/2022 19:15,104.281
10/24/2022 19:20,110.664
10/24/2022 19:25,118.15
10/24/2022 19:30,109.536
10/24/2022 19:35,111.54
10/24/2022 19:40,110.39
10/24/2022 19:45,116.543
10/24/2022 19:50,116.676
10/24/2022 19:55,105.134
10/24/2022 20:05,108.183
10/24/2022 20:10,108.105
10/24/2022 20:15,105.645
10/24/2022 20:20,113.445
10/24/2022 20:25,107.304
10/24/2022 20:30,108.706
10/24/2022 20:35,107.416
10/24/2022 20:40,112.622
10/24/2022 20:45,105.518
10/24/2022 20:50,106.195
10/24/2022 20:55,111.62
10/24/2022 21:00,120.689
10/24/2022 21:05,106.69
